feature,importance_mean,importance_std,sira,kategori
phq4_total,0.13873,0.0,1,EMA_turetilen
phq4_risk,0.12345,0.0,2,EMA_turetilen
gad2_pozitif,0.11748,0.0,3,EMA_turetilen
phq4_anksiyete,0.1142,0.0,4,EMA_turetilen
phq4_depresyon,0.09673,0.0,5,EMA_turetilen
phq4_q2,0.08099,0.0,6,EMA_ham
phq4_q4,0.06864,0.0,7,EMA_ham
phq2_pozitif,0.06232,0.0,8,EMA_turetilen
phq4_q3,0.05596,0.0,9,EMA_ham
phq4_q1,0.04762,0.0,10,EMA_ham
stress,0.0386,0.0,11,EMA_ham
stress_z,0.02595,0.0,12,EMA_turetilen
pam_q_Q3,0.00824,0.0,13,EMA_pam_onehot
pam_score,0.0049,0.0,14,EMA_ham
pam_q_Q1,0.00228,0.0,15,EMA_pam_onehot
pam_valence,0.00154,0.0,16,EMA_turetilen
pam_arousal,0.00117,0.0,17,EMA_turetilen
pam_q_Q2,0.00091,0.0,18,EMA_pam_onehot
act_on_foot_ep_2,0.00067,0.0,19,Pasif
act_on_foot_ep_0,0.00059,0.0,20,Pasif
act_walking_ep_0,0.0005,0.0,21,Pasif
other_playing_duration_ep_1,0.00038,0.0,22,Pasif
sosyal_iletisim_yogunluk_rmean7,0.00036,0.0,23,Pasif
pam_q_Q4,0.00033,0.0,24,EMA_pam_onehot
audio_amp_mean_ep_0_rmean7,0.00028,0.0,25,Pasif
act_still_ep_0_rmean7,0.00027,0.0,26,Pasif
sedanter_saat_rmean7,0.00024,0.0,27,Pasif
other_playing_duration_ep_0,0.00022,0.0,28,Pasif
audio_amp_mean_ep_0_lag1,0.00021,0.0,29,Pasif
audio_amp_std_ep_2,0.0002,0.0,30,Pasif
audio_amp_mean_ep_2,0.00019,0.0,31,Pasif
audio_convo_duration_ep_0_rmean7,0.00019,0.0,32,Pasif
unlock_num_ep_0_rmean7,0.00018,0.0,33,Pasif
aktivite_toplam_rmean7,0.00018,0.0,34,Pasif
other_playing_num_ep_1,0.00018,0.0,35,Pasif
loc_dist_ep_0,0.00016,0.0,36,Pasif
act_in_vehicle_ep_0,0.00014,0.0,37,Pasif
loc_dist_ep_0_lag1,0.00014,0.0,38,Pasif
mobilite_skoru_lag1,0.00014,0.0,39,Pasif
mobilite_skoru_rmean7,0.00013,0.0,40,Pasif
act_on_foot_ep_1,0.00013,0.0,41,Pasif
aktivite_toplam_rstd7,0.00011,0.0,42,Pasif
mobilite_skoru,0.00011,0.0,43,Pasif
act_still_ep_0,0.0001,0.0,44,Pasif
loc_max_dis_from_campus_ep_0,0.0001,0.0,45,Pasif
loc_max_dis_from_campus_ep_1,0.0001,0.0,46,Pasif
sedanter_saat,0.0001,0.0,47,Pasif
aktivite_toplam,0.0001,0.0,48,Pasif
loc_home_dur,9e-05,0.0,49,Pasif
loc_dist_ep_0_rmean7,9e-05,0.0,50,Pasif
loc_max_dis_from_campus_ep_0_rmean7,9e-05,0.0,51,Pasif
act_still_ep_0_lag1,8e-05,0.0,52,Pasif
act_walking_ep_2,8e-05,0.0,53,Pasif
loc_max_dis_from_campus_ep_0_lag1,8e-05,0.0,54,Pasif
act_on_foot_ep_3,7e-05,0.0,55,Pasif
audio_voice_ep_2,7e-05,0.0,56,Pasif
unlock_num_ep_0_rstd7,7e-05,0.0,57,Pasif
audio_amp_mean_ep_1,7e-05,0.0,58,Pasif
unlock_duration_ep_1,7e-05,0.0,59,Pasif
unlock_duration_ep_0_lag1,7e-05,0.0,60,Pasif
gunduz_gece_telefon_orani_lag1,6e-05,0.0,61,Pasif
