feature,shap_mean_abs,shap_mean,kategori,sira
sosyal_iletisim_yogunluk_rmean7,0.17627,-0.06397,Pasif,1
act_on_foot_ep_0,0.16545,-0.07555,Pasif,2
aktivite_toplam_rmean7,0.1252,0.05964,Pasif,3
unlock_num_ep_0_rmean7,0.12417,-0.02492,Pasif,4
unlock_duration_ep_0_rmean7,0.11922,0.03105,Pasif,5
audio_amp_mean_ep_0_rmean7,0.11829,-0.00317,Pasif,6
audio_amp_mean_ep_1,0.09398,-0.02569,Pasif,7
loc_max_dis_from_campus_ep_0_lag1,0.09119,0.00333,Pasif,8
gunduz_gece_telefon_orani_rstd7,0.09094,0.00033,Pasif,9
act_on_foot_ep_2,0.08936,-0.05431,Pasif,10
loc_max_dis_from_campus_ep_0_rmean7,0.08902,-0.00409,Pasif,11
loc_max_dis_from_campus_ep_1,0.08007,0.02142,Pasif,12
unlock_duration_ep_1,0.07808,0.01432,Pasif,13
loc_max_dis_from_campus_ep_3,0.07584,-0.01279,Pasif,14
loc_max_dis_from_campus_ep_0,0.07098,0.01547,Pasif,15
loc_dist_ep_0,0.06582,0.01514,Pasif,16
gunduz_gece_telefon_orani_rmean7,0.0648,0.00689,Pasif,17
mobilite_skoru_lag1,0.06397,0.00697,Pasif,18
loc_max_dis_from_campus_ep_2,0.06285,0.03236,Pasif,19
audio_convo_duration_ep_0_rmean7,0.06214,0.03942,Pasif,20
audio_amp_mean_ep_0_lag1,0.06205,-0.01682,Pasif,21
aktivite_toplam_rstd7,0.05646,-0.01332,Pasif,22
loc_food_unlock_num,0.05496,0.01099,Pasif,23
sedanter_saat_rmean7,0.05233,-0.00449,Pasif,24
loc_study_audio_voice,0.04917,0.00405,Pasif,25
other_playing_num_ep_0,0.04812,-0.01953,Pasif,26
act_in_vehicle_ep_2,0.04726,0.00958,Pasif,27
other_playing_duration_ep_1,0.04118,-0.006,Pasif,28
loc_dist_ep_2,0.03873,-0.00191,Pasif,29
mobilite_skoru_rstd7,0.03617,-0.0093,Pasif,30
audio_amp_mean_ep_3,0.03518,-0.01513,Pasif,31
loc_study_dur,0.03489,0.00595,Pasif,32
act_running_ep_1,0.03363,0.00188,Pasif,33
other_playing_num_ep_1,0.03231,-0.01664,Pasif,34
unlock_duration_ep_3,0.03227,-0.00087,Pasif,35
