,count,mean,std,min,25%,50%,75%,max
is_ios,216065.0,0.8838081132992387,0.3204556247714941,0.0,1.0,1.0,1.0,1.0
act_in_vehicle_ep_0,216065.0,2280.6614953833337,4299.128225518489,0.0,0.0,306.0,2771.0,75644.0
act_in_vehicle_ep_1,216065.0,237.3063753962928,1018.4180745107975,0.0,0.0,0.0,0.0,32201.0
act_in_vehicle_ep_2,216065.0,1452.8525212320367,3012.5953582071256,0.0,0.0,15.0,1649.0,32400.0
act_in_vehicle_ep_3,216065.0,590.5025987550043,1611.3601078623126,0.0,0.0,0.0,347.0,21600.0
act_in_vehicle_hr_0,216065.0,23.39472843820147,193.87004082848276,0.0,0.0,0.0,0.0,3598.0
act_in_vehicle_hr_1,216065.0,14.51643718325504,158.39996584370348,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_10,216065.0,123.83947886052808,474.1510641780729,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_11,216065.0,146.71665471038807,506.9012629097701,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_12,216065.0,159.96796334436397,521.5661150903186,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_13,216065.0,169.0696410802305,536.4787364590011,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_14,216065.0,177.89587392682756,555.3479739614709,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_15,216065.0,186.18067248281767,569.8820732589447,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_16,216065.0,191.71200796056743,578.5440698557152,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_17,216065.0,190.4802628838544,572.5550926940399,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_18,216065.0,164.40804387568556,526.3524674251526,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_19,216065.0,130.2367852266679,464.18827261042844,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_2,216065.0,8.542674658089002,123.5177884465376,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_20,216065.0,106.86271260963136,419.96101511294626,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_21,216065.0,86.24057575266703,378.23765167182773,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_22,216065.0,60.96800037025895,326.5821019307061,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_23,216065.0,41.78648092009349,275.72650313594727,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_3,216065.0,7.060190220535487,116.99336321030744,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_4,216065.0,8.033841668016569,131.402237626008,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_5,216065.0,11.880045356721357,154.34600084479868,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_6,216065.0,22.894527109897485,211.82454252917515,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_7,216065.0,54.41288501145489,318.499777455013,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_8,216065.0,86.57104575012148,398.35342927322193,0.0,0.0,0.0,0.0,3600.0
act_in_vehicle_hr_9,216065.0,106.98996598245898,444.6546266229789,0.0,0.0,0.0,0.0,3600.0
act_on_bike_ep_0,216065.0,171.53835651308634,854.0828300472632,0.0,0.0,0.0,0.0,57793.0
act_on_bike_ep_1,216065.0,16.358512484668964,242.11966657157387,0.0,0.0,0.0,0.0,28818.0
act_on_bike_ep_2,216065.0,107.52995163492467,614.1185081590899,0.0,0.0,0.0,0.0,32400.0
act_on_bike_ep_3,216065.0,47.6498923934927,379.13885030213817,0.0,0.0,0.0,0.0,21600.0
act_on_bike_hr_0,216065.0,2.770805081804087,61.22397274098557,0.0,0.0,0.0,0.0,3576.0
act_on_bike_hr_1,216065.0,1.8515215328720525,51.71549449698176,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_10,216065.0,9.565774188322958,114.66544171330993,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_11,216065.0,11.277171221623123,123.10296725693912,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_12,216065.0,12.751033253881934,129.95253567264564,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_13,216065.0,12.501696248814014,126.39915124247122,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_14,216065.0,13.826774350311249,135.34817755623698,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_15,216065.0,14.353898132506421,140.91270838666114,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_16,216065.0,13.078809617476223,131.11640713022905,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_17,216065.0,12.770420938143614,125.2089249637939,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_18,216065.0,11.505153541758267,114.93181670081132,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_19,216065.0,10.061606461018675,107.12486837714394,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_2,216065.0,0.9735588827436188,36.749534396904416,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_20,216065.0,8.341263045842686,98.93144559608538,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_21,216065.0,7.098817485478907,93.83012983427682,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_22,216065.0,5.919954643278643,88.88115289994208,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_23,216065.0,4.723097216115521,84.56842369449383,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_3,216065.0,0.505602480734964,28.701736214247678,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_4,216065.0,0.43005114201744843,26.32484455668953,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_5,216065.0,0.517372087103418,25.57217609836811,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_6,216065.0,1.1822507115914191,39.99076008062282,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_7,216065.0,2.6931062411774236,64.75508770992545,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_8,216065.0,5.434244324624534,86.45704573332502,0.0,0.0,0.0,0.0,3600.0
act_on_bike_hr_9,216065.0,7.404373683845139,98.15932297316746,0.0,0.0,0.0,0.0,3600.0
act_on_foot_ep_0,25105.0,2816.917227643896,3266.736013778234,0.0,495.0,1991.0,4185.0,84807.0
act_on_foot_ep_1,25105.0,293.0960764787891,852.5045131607865,0.0,0.0,14.0,274.0,31995.0
act_on_foot_ep_2,25105.0,1608.4432981477794,1888.3512627096864,0.0,180.0,1098.0,2451.0,32400.0
act_on_foot_ep_3,25105.0,915.3778530173272,1441.4053507826136,0.0,32.0,403.0,1339.0,21600.0
act_on_foot_hr_0,25105.0,69.35590519816769,249.2061813056615,0.0,0.0,0.0,0.0,3449.0
act_on_foot_hr_1,25105.0,47.82135032861979,218.93730383678763,0.0,0.0,0.0,0.0,3600.0
act_on_foot_hr_10,25105.0,133.6144991037642,304.1344849561532,0.0,0.0,0.0,128.0,3600.0
act_on_foot_hr_11,25105.0,168.38267277434775,343.0073845161974,0.0,0.0,0.0,183.0,3600.0
act_on_foot_hr_12,25105.0,217.67691694881498,373.66761550011387,0.0,0.0,20.0,316.0,3600.0
act_on_foot_hr_13,25105.0,201.8323441545509,375.29777784807334,0.0,0.0,15.0,256.0,3600.0
act_on_foot_hr_14,25105.0,194.39661422027484,372.81236138330974,0.0,0.0,10.0,239.0,3600.0
