sütun,eksik_adet,eksik_%,dolu_adet,veri_tipi,grup
loc_social_audio_amp,208711,96.6,7354,float64,location
loc_other_dorm_audio_amp,207038,95.82,9027,float64,location
loc_food_audio_amp,200045,92.59,16020,float64,location
loc_study_audio_amp,198377,91.81,17688,float64,location
loc_self_dorm_audio_amp,196351,90.88,19714,float64,location
light_mean_ep_1,193878,89.73,22187,float64,light
light_std_ep_1,193878,89.73,22187,float64,light
light_mean_ep_3,193664,89.63,22401,float64,light
light_std_ep_3,193664,89.63,22401,float64,light
light_mean_ep_2,193574,89.59,22491,float64,light
light_std_ep_2,193574,89.59,22491,float64,light
light_std_ep_0,193220,89.43,22845,float64,light
light_mean_ep_0,193220,89.43,22845,float64,light
act_on_foot_hr_2,190960,88.38,25105,float64,activity
act_on_foot_hr_4,190960,88.38,25105,float64,activity
act_on_foot_hr_5,190960,88.38,25105,float64,activity
act_on_foot_hr_3,190960,88.38,25105,float64,activity
act_on_foot_hr_23,190960,88.38,25105,float64,activity
act_on_foot_hr_22,190960,88.38,25105,float64,activity
act_on_foot_hr_6,190960,88.38,25105,float64,activity
act_on_foot_hr_21,190960,88.38,25105,float64,activity
act_on_foot_hr_20,190960,88.38,25105,float64,activity
sms_in_num_ep_3,190960,88.38,25105,float64,sms
act_on_foot_hr_13,190960,88.38,25105,float64,activity
act_on_foot_hr_19,190960,88.38,25105,float64,activity
act_on_foot_hr_18,190960,88.38,25105,float64,activity
act_on_foot_hr_17,190960,88.38,25105,float64,activity
act_on_foot_hr_16,190960,88.38,25105,float64,activity
act_on_foot_hr_15,190960,88.38,25105,float64,activity
act_on_foot_hr_8,190960,88.38,25105,float64,activity
act_on_foot_hr_12,190960,88.38,25105,float64,activity
act_on_foot_hr_11,190960,88.38,25105,float64,activity
act_on_foot_hr_10,190960,88.38,25105,float64,activity
act_on_foot_hr_1,190960,88.38,25105,float64,activity
act_on_foot_hr_0,190960,88.38,25105,float64,activity
act_on_foot_hr_7,190960,88.38,25105,float64,activity
sms_in_num_ep_1,190960,88.38,25105,float64,sms
