sütun,aykırı_adet,aykırı_%,alt_sınır,üst_sınır,min,max
loc_other_dorm_audio_voice,7640,23.986,-0.0,0.0,0.0,1.0
unlock_duration_hr_2,51651,23.905,-0.15,0.2,0.0,3600.0
loc_study_convo_duration,13916,23.515,-0.31,0.41,0.0,59.87
act_tilting_hr_2,5747,22.892,-3.0,4.0,0.0,3600.0
loc_study_convo_num,13499,22.81,-0.16,0.22,0.0,7.41
act_tilting_hr_7,5695,22.685,-48.0,64.0,0.0,3600.0
loc_social_audio_voice,5634,22.225,-0.04,0.06,0.0,1.0
loc_self_dorm_audio_voice,13748,21.02,-0.01,0.01,0.0,1.0
act_walking_hr_7,41985,19.432,-57.0,76.0,0.0,3600.0
loc_dist_hr_21,30004,19.01,-185.7,247.61,0.0,104795250.5
loc_food_convo_duration,9975,18.71,-5.76,7.68,0.0,59.92
loc_study_audio_voice,10919,18.45,-0.06,0.07,0.0,1.0
loc_dist_hr_9,28897,18.385,-235.36,313.81,0.0,63767084.75
act_on_foot_hr_23,4576,18.227,-48.0,64.0,0.0,3600.0
act_still_hr_7,38870,17.99,3380.0,3765.0,0.0,3600.0
call_in_duration_ep_2,4187,16.678,-54.0,72.0,0.0,8480.0
act_walking_hr_1,34666,16.044,-204.0,272.0,0.0,3600.0
act_on_foot_hr_22,3828,15.248,-135.0,180.0,0.0,3600.0
act_on_foot_hr_9,3783,15.069,-162.0,216.0,0.0,3600.0
unlock_duration_hr_7,31908,14.768,-370.09,493.45,0.0,3600.0
call_out_duration_ep_2,3629,14.455,-165.0,220.0,0.0,6791.0
loc_dist_hr_16,22123,13.966,-1552.04,2069.38,0.0,70936988.81
loc_dist_hr_17,22126,13.914,-1594.53,2126.04,0.0,104704082.13
other_playing_duration_hr_8,26432,13.842,-897.0,1196.0,0.0,3600.0
light_std_ep_2,3106,13.81,-7251932.9,9687332.59,0.0,2273932783.83
loc_dist_hr_15,21866,13.808,-1510.84,2014.45,0.0,111078605.78
light_std_ep_0,3127,13.688,-2906403.07,3890336.82,0.0,1310488558.22
