feature,kategori
stress,ema_ham
pam_score,ema_ham
social_level,ema_ham
phq4_q1,ema_ham
phq4_q2,ema_ham
phq4_q3,ema_ham
phq4_q4,ema_ham
stress_z,ema_turetilen
pam_valence,ema_turetilen
pam_arousal,ema_turetilen
phq4_anksiyete,ema_turetilen
phq4_depresyon,ema_turetilen
phq4_total,ema_turetilen
phq4_risk,ema_turetilen
gad2_pozitif,ema_turetilen
phq2_pozitif,ema_turetilen
social_subj_norm,ema_turetilen
social_obj_norm,ema_turetilen
social_delta,ema_turetilen
obj_iletisim,ema_turetilen
act_in_vehicle_ep_0,pasif
act_in_vehicle_ep_1,pasif
act_in_vehicle_ep_2,pasif
act_in_vehicle_ep_3,pasif
act_on_bike_ep_0,pasif
act_on_bike_ep_2,pasif
act_on_bike_ep_3,pasif
act_on_foot_ep_0,pasif
act_on_foot_ep_1,pasif
act_on_foot_ep_2,pasif
act_on_foot_ep_3,pasif
act_running_ep_0,pasif
act_running_ep_1,pasif
act_running_ep_2,pasif
act_running_ep_3,pasif
act_still_ep_0,pasif
act_still_ep_1,pasif
act_still_ep_2,pasif
act_still_ep_3,pasif
act_walking_ep_0,pasif
act_walking_ep_1,pasif
act_walking_ep_2,pasif
act_walking_ep_3,pasif
audio_amp_mean_ep_0,pasif
audio_amp_mean_ep_1,pasif
audio_amp_mean_ep_2,pasif
audio_amp_mean_ep_3,pasif
audio_amp_std_ep_1,pasif
audio_amp_std_ep_2,pasif
audio_amp_std_ep_3,pasif
audio_convo_duration_ep_0,pasif
audio_convo_duration_ep_1,pasif
audio_convo_duration_ep_2,pasif
audio_convo_duration_ep_3,pasif
audio_convo_num_ep_1,pasif
audio_convo_num_ep_2,pasif
audio_convo_num_ep_3,pasif
audio_voice_ep_1,pasif
audio_voice_ep_2,pasif
audio_voice_ep_3,pasif
call_in_duration_ep_0,pasif
call_in_duration_ep_2,pasif
call_in_num_ep_2,pasif
call_out_duration_ep_0,pasif
call_out_duration_ep_2,pasif
call_out_num_ep_2,pasif
loc_dist_ep_0,pasif
loc_dist_ep_1,pasif
loc_dist_ep_2,pasif
loc_dist_ep_3,pasif
loc_max_dis_from_campus_ep_0,pasif
loc_max_dis_from_campus_ep_1,pasif
loc_max_dis_from_campus_ep_2,pasif
loc_max_dis_from_campus_ep_3,pasif
loc_visit_num_ep_0,pasif
loc_visit_num_ep_1,pasif
loc_visit_num_ep_2,pasif
loc_visit_num_ep_3,pasif
other_playing_duration_ep_0,pasif
other_playing_duration_ep_1,pasif
other_playing_duration_ep_2,pasif
other_playing_duration_ep_3,pasif
other_playing_num_ep_0,pasif
other_playing_num_ep_1,pasif
other_playing_num_ep_2,pasif
other_playing_num_ep_3,pasif
sms_in_num_ep_0,pasif
sms_in_num_ep_1,pasif
sms_in_num_ep_2,pasif
sms_in_num_ep_3,pasif
sms_out_num_ep_0,pasif
sms_out_num_ep_1,pasif
sms_out_num_ep_2,pasif
sms_out_num_ep_3,pasif
unlock_duration_ep_0,pasif
unlock_duration_ep_1,pasif
unlock_duration_ep_2,pasif
unlock_duration_ep_3,pasif
unlock_num_ep_0,pasif
unlock_num_ep_1,pasif
unlock_num_ep_2,pasif
unlock_num_ep_3,pasif
loc_food_audio_voice,pasif
loc_food_convo_duration,pasif
loc_food_convo_num,pasif
loc_food_dur,pasif
loc_food_still,pasif
loc_food_unlock_duration,pasif
loc_food_unlock_num,pasif
loc_home_audio_amp,pasif
loc_home_audio_voice,pasif
loc_home_convo_duration,pasif
loc_home_convo_num,pasif
loc_home_dur,pasif
loc_home_still,pasif
loc_home_unlock_duration,pasif
loc_home_unlock_num,pasif
loc_other_dorm_audio_voice,pasif
loc_other_dorm_dur,pasif
loc_other_dorm_still,pasif
loc_other_dorm_unlock_duration,pasif
loc_other_dorm_unlock_num,pasif
loc_self_dorm_audio_voice,pasif
loc_self_dorm_convo_duration,pasif
loc_self_dorm_convo_num,pasif
loc_self_dorm_dur,pasif
