feature,shap_mean_abs,shap_mean,kategori,sira
phq4_total,0.0517,-0.01572,EMA_turetilen,1
phq4_risk,0.04818,-0.0126,EMA_turetilen,2
phq4_anksiyete,0.04385,-0.01497,EMA_turetilen,3
gad2_pozitif,0.04008,-0.01852,EMA_turetilen,4
phq4_depresyon,0.03479,-0.01448,EMA_turetilen,5
phq4_q2,0.02453,-0.00707,EMA_ham,6
phq4_q4,0.02439,-0.01347,EMA_ham,7
phq2_pozitif,0.02095,-0.00939,EMA_turetilen,8
phq4_q3,0.01843,-0.0059,EMA_ham,9
phq4_q1,0.01689,-0.00779,EMA_ham,10
stress,0.01232,-0.00708,EMA_ham,11
stress_z,0.00951,-0.00486,EMA_turetilen,12
pam_q_Q3,0.00365,-0.00045,EMA_pam_onehot,13
pam_q_Q1,0.00201,0.0002,EMA_pam_onehot,14
pam_score,0.00184,-0.00032,EMA_ham,15
pam_valence,0.00146,-4e-05,EMA_turetilen,16
act_on_foot_ep_2,0.00085,-0.00037,Pasif,17
act_on_foot_ep_0,0.00071,-0.00031,Pasif,18
pam_q_Q2,0.00069,0.00019,EMA_pam_onehot,19
pam_arousal,0.00068,-0.00012,EMA_turetilen,20
sosyal_iletisim_yogunluk_rmean7,0.00064,-0.00033,Pasif,21
audio_amp_std_ep_2,0.00059,-0.00026,Pasif,22
act_walking_ep_0,0.00049,-0.00021,Pasif,23
other_playing_duration_ep_1,0.00044,-0.00014,Pasif,24
pam_q_Q4,0.00043,-2e-05,EMA_pam_onehot,25
sedanter_saat_rmean7,0.00035,7e-05,Pasif,26
audio_amp_mean_ep_0_rmean7,0.00032,-5e-05,Pasif,27
act_still_ep_0_rmean7,0.00026,3e-05,Pasif,28
audio_amp_mean_ep_0_lag1,0.00026,-8e-05,Pasif,29
other_playing_duration_ep_0,0.00024,-0.00011,Pasif,30
aktivite_toplam_rmean7,0.00021,0.00011,Pasif,31
act_on_foot_ep_1,0.00021,-9e-05,Pasif,32
loc_dist_ep_0,0.0002,1e-05,Pasif,33
loc_dist_ep_0_lag1,0.0002,3e-05,Pasif,34
act_walking_ep_2,0.00019,-9e-05,Pasif,35
mobilite_skoru_lag1,0.00019,-1e-05,Pasif,36
mobilite_skoru_rmean7,0.00019,2e-05,Pasif,37
unlock_num_ep_0_rmean7,0.00017,-7e-05,Pasif,38
audio_voice_ep_2,0.00017,-6e-05,Pasif,39
mobilite_skoru,0.00017,-1e-05,Pasif,40
aktivite_toplam,0.00017,6e-05,Pasif,41
act_on_foot_ep_3,0.00015,-9e-05,Pasif,42
loc_max_dis_from_campus_ep_1,0.00015,-4e-05,Pasif,43
audio_amp_mean_ep_2,0.00015,-5e-05,Pasif,44
sedanter_saat,0.00015,1e-05,Pasif,45
other_playing_num_ep_1,0.00014,-3e-05,Pasif,46
aktivite_toplam_rstd7,0.00013,4e-05,Pasif,47
act_in_vehicle_ep_0,0.00013,3e-05,Pasif,48
loc_max_dis_from_campus_ep_0_rmean7,0.00013,-4e-05,Pasif,49
act_in_vehicle_ep_2,0.00013,-2e-05,Pasif,50
unlock_duration_ep_0_rmean7,0.00011,-2e-05,Pasif,51
act_still_ep_0,0.00011,-1e-05,Pasif,52
loc_food_dur,0.0001,1e-05,Pasif,53
audio_amp_mean_ep_1,0.0001,-2e-05,Pasif,54
loc_dist_ep_0_rmean7,0.0001,-1e-05,Pasif,55
gunduz_gece_telefon_orani_rstd7,9e-05,-0.0,Pasif,56
obj_iletisim,9e-05,-5e-05,EMA_turetilen,57
unlock_duration_ep_1,9e-05,-0.0,Pasif,58
loc_self_dorm_unlock_duration,9e-05,-2e-05,Pasif,59
loc_home_convo_duration,8e-05,2e-05,Pasif,60
loc_home_dur,8e-05,-0.0,Pasif,61
call_out_duration_ep_2,8e-05,-5e-05,Pasif,62
audio_convo_duration_ep_0_rmean7,8e-05,3e-05,Pasif,63
social_subj_norm,7e-05,-2e-05,EMA_turetilen,64
sedanter_saat_rstd7,7e-05,-0.0,Pasif,65
aktivite_toplam_lag1,7e-05,1e-05,Pasif,66
