asama,sutun
leakage,stress
leakage,pam_score
leakage,social_level
leakage,phq4_q1
leakage,phq4_q2
leakage,phq4_q3
leakage,phq4_q4
leakage,stress_z
leakage,pam_valence
leakage,pam_arousal
leakage,pam_quadrant
leakage,phq4_anksiyete
leakage,phq4_depresyon
leakage,phq4_total
leakage,phq4_risk
leakage,gad2_pozitif
leakage,phq2_pozitif
leakage,social_subj_norm
leakage,social_obj_norm
leakage,social_delta
leakage,profil_id
leakage,profil_isim
leakage,profil_risk_4
leakage,profil_guven
leakage,profil_id_manhattan
leakage,profil_risk_4_manhattan
leakage,klinik_risk_4
leakage,obj_iletisim
light,light_mean_ep_0
light,light_mean_ep_1
light,light_mean_ep_2
light,light_mean_ep_3
light,light_std_ep_0
light,light_std_ep_1
light,light_std_ep_2
light,light_std_ep_3
light,has_light_sensor
redundant,audio_convo_num_ep_0
redundant,audio_voice_ep_0
redundant,call_in_num_ep_0
redundant,call_out_num_ep_0
redundant,audio_amp_std_ep_0
hourly,act_in_vehicle_hr_0
hourly,act_in_vehicle_hr_1
hourly,act_in_vehicle_hr_10
hourly,act_in_vehicle_hr_11
hourly,act_in_vehicle_hr_12
hourly,act_in_vehicle_hr_13
hourly,act_in_vehicle_hr_14
hourly,act_in_vehicle_hr_15
hourly,act_in_vehicle_hr_16
hourly,act_in_vehicle_hr_17
hourly,act_in_vehicle_hr_18
hourly,act_in_vehicle_hr_19
hourly,act_in_vehicle_hr_2
hourly,act_in_vehicle_hr_20
hourly,act_in_vehicle_hr_21
hourly,act_in_vehicle_hr_22
hourly,act_in_vehicle_hr_23
hourly,act_in_vehicle_hr_3
hourly,act_in_vehicle_hr_4
hourly,act_in_vehicle_hr_5
hourly,act_in_vehicle_hr_6
hourly,act_in_vehicle_hr_7
hourly,act_in_vehicle_hr_8
hourly,act_in_vehicle_hr_9
hourly,act_on_bike_hr_0
hourly,act_on_bike_hr_1
hourly,act_on_bike_hr_10
hourly,act_on_bike_hr_11
