set,fold_id,uid_sayisi,satir_sayisi,sinif_0_yuzde,sinif_1_yuzde,sinif_2_yuzde,sinif_3_yuzde
holdout,-1,22,3799,42.09,25.8,25.01,7.11
train,0,157,25019,43.62,28.42,22.36,5.6
val,0,38,6095,39.44,32.35,21.87,6.33
train,1,156,24617,41.73,30.26,21.71,6.3
val,1,39,6497,46.87,25.15,24.37,3.62
train,2,156,24775,42.98,28.84,22.06,6.12
val,2,39,6339,42.09,30.56,23.06,4.29
train,3,155,24909,41.86,30.11,22.68,5.35
val,3,40,6205,46.58,25.5,20.61,7.32
train,4,156,25136,43.79,28.35,22.51,5.36
val,4,39,5978,38.64,32.74,21.26,7.36
