Variable,Feature Availability -- Android/iOS/All ,Description,Variable Unit,Time Period
uid,All,Unique user ID,,
is_ios,All,Boolean indicating whether the user is an iOS user (1) or an Android user (0),0 or 1 -- no unit,
day,All,Date in the format YYYYMMDD,,
act_in_vehicle_ep_0,All,Activity duration in vehicle,seconds,full day
act_in_vehicle_ep_1,All,Activity duration in vehicle,seconds,12am-9am
act_in_vehicle_ep_2,All,Activity duration in vehicle,seconds,9am-6pm
act_in_vehicle_ep_3,All,Activity duration in vehicle,seconds,6pm-12am
act_on_bike_ep_0,All,Activity duration on bike,seconds,full day
act_on_bike_ep_1,All,Activity duration on bike,seconds,12am-9am
act_on_bike_ep_2,All,Activity duration on bike,seconds,9am-6pm
act_on_bike_ep_3,All,Activity duration on bike,seconds,6pm-12am
act_on_foot_ep_0,Android only,Activity duration on foot ,seconds,full day
act_on_foot_ep_1,Android only,Activity duration on foot,seconds,12am-9am
act_on_foot_ep_2,Android only,Activity duration on foot ,seconds,9am-6pm
act_on_foot_ep_3,Android only,Activity duration on foot ,seconds,6pm-12am
act_running_ep_0,iOS only,Activity duration running,seconds,full day
act_running_ep_1,iOS only,Activity duration running ,seconds,12am-9am
act_running_ep_2,iOS only,Activity duration running ,seconds,9am-6pm
act_running_ep_3,iOS only,Activity duration running ,seconds,6pm-12am
act_still_ep_0,All,Activity duration still (no movement),seconds,full day
act_still_ep_1,All,Activity duration still (no movement),seconds,12am-9am
act_still_ep_2,All,Activity duration still (no movement),seconds,9am-6pm
act_still_ep_3,All,Activity duration still (no movement),seconds,6pm-12am
act_walking_ep_0,iOS only,Activity duration walking ,seconds,full day
act_walking_ep_1,iOS only,Activity duration walking,seconds,12am-9am
act_walking_ep_2,iOS only,Activity duration walking,seconds,9am-6pm
act_walking_ep_3,iOS only,Activity duration walking,seconds,6pm-12am
audio_amp_mean_ep_0,Android only,Mean audio amplitude,"No unit. The values are NOT RELATED to any concrete calibrated physical property. The values are therefore, just 16-bit digitalisation of electrical output from 0-100% (maximum voltage range of that microphone).",full day
